설치읍면동,위도,경도
강원도 원주시 학성동 490-13,37.3588676,127.9439468
강원도 원주시 원인동 246-3,37.3463173,127.9482803
강원도 원주시 개운동 328,37.3344116,127.9544144
강원도 원주시 개운동 384-22,37.3421211,127.9562988
강원도 원주시 명륜1동 126-1,37.3398552,127.9482574
강원도 원주시 명륜2동 819-7,37.3298798,127.9451981
강원도 원주시 단구동 1606-1,37.3246727,127.9590225
강원도 원주시 단구동 1630-10,37.3224564,127.9557953
강원도 원주시 일산동 91-16,37.3486252,127.9476929
강원도 원주시 일산동 184-86,37.3518372,127.9462814
강원도 원주시 학성동 267-23,37.3535843,127.9433594
강원도 원주시 단계동 781-6,37.3462181,127.9346542
강원도 원주시 우산동 242-12,37.3669548,127.9354401
강원도 원주시 태장1동 692-3,37.3605919,127.9548874
강원도 원주시 태장2동 1394-1,37.380867,127.9495621
강원도 원주시 태장2동 1352-29,37.3876839,127.949791
강원도 원주시 봉산동 957-13,37.3465004,127.9641266
강원도 원주시 봉산동 1103-3,37.3486748,127.9568176
강원도 원주시 행구동 1200-9,37.341259,127.9709015
강원도 원주시 무실동 163,37.327301,127.9262238
강원도 원주시 단계동 908-2,37.3416977,127.9352112
강원도 원주시 반곡관설동 1718-7,37.3164177,127.9641876
강원도 원주시 반곡관설동 1703-6,37.3181,127.9646454
강원도 원주시 일산동 184-72,37.3523827,127.9460068
강원도 원주시 문막읍 건등리 1642-2,37.3356171,127.8349533
강원도 원주시 귀래면 운남리 556-37,37.168602,127.8852005
강원도 원주시 태장2동 1373-4,37.3846588,127.9532852
강원도 원주시 무실동 1907-2,37.3277397,127.9278107
강원도 원주시 귀래면 용암리 210-1,37.1751518,127.8347778
강원도 원주시 귀래면 귀래리 1458,37.2234001,127.863678
강원도 원주시 귀래면 귀래리 1458,37.2234001,127.863678
강원도 원주시 귀래면 용암리 22-2,37.170517,127.8443527
강원도 원주시 귀래면 귀래리 1457,37.2235756,127.8637009
강원도 원주시 귀래면 운남리 662-2,37.1638374,127.8887787
강원도 원주시 귀래면 운계리 326-1,37.1994324,127.8947449
강원도 원주시 귀래면 운남리 384-3,37.1808586,127.9210892
강원도 원주시 태장2동 1373-5,37.3837738,127.9527817
강원도 원주시 명륜2동 710-3,37.3324966,127.9417114
강원도 원주시 우산동 201-3,37.3698235,127.9360352
강원도 원주시 문막읍 동화리 1543,37.3263092,127.8295135
강원도 원주시 반곡관설동 1743-12,37.3175926,127.9624557
강원도 원주시 단구동 618-15,37.3302307,127.9589539
강원도 원주시 봉산동 1144-14,37.3458138,127.9586105
강원도 원주시 단계동 891-11,37.341526,127.9301834
강원도 원주시 단계동 895-11,37.3401451,127.9313049
강원도 원주시 단계동 897-9,37.338974,127.9304657
강원도 원주시 단계동 897,37.3401413,127.9308243
강원도 원주시 단계동 904-15,37.3411636,127.9329605
강원도 원주시 단계동 924-2,37.3385201,127.9322205
강원도 원주시 봉산동 1136-10,37.345932,127.9570923
강원도 원주시 봉산동 902-362,37.3456955,127.9603653
강원도 원주시 봉산동 912-23,37.3451881,127.962944
강원도 원주시 봉산동 935-5,37.3442574,127.9640045
강원도 원주시 반곡관설동 1818-2,37.3366814,127.9782639
강원도 원주시 반곡관설동 1964-3,37.3343849,127.9860153
강원도 원주시 반곡관설동 1967-9,37.3301506,127.9925613
강원도 원주시 반곡관설동 1822-19,37.3262978,127.9810791
강원도 원주시 반곡관설동 1905-9,37.3267517,127.9909515
강원도 원주시 반곡관설동 1824-1,37.3278656,127.9797287
강원도 원주시 반곡관설동 4104-1,37.3263054,127.9832687
강원도 원주시 반곡관설동 1897-1,37.3272972,127.9851379
강원도 원주시 반곡관설동 2027-1,37.322998,127.9917755
강원도 원주시 반곡관설동 4405-7,37.3200035,127.9749603
강원도 원주시 반곡관설동 4307-1,37.3251915,127.9817352
강원도 원주시 반곡관설동 2047-11,37.3215675,127.9817123
강원도 원주시 반곡관설동 2047-10,37.3227386,127.9818802
강원도 원주시 반곡관설동 1884-1,37.3243675,127.9786301
강원도 원주시 반곡관설동 2049-3,37.3241234,127.9774323
강원도 원주시 반곡관설동 1858-5,37.3267326,127.9787598
강원도 원주시 반곡관설동 1809-9,37.3290672,127.975853
강원도 원주시 반곡관설동 1822-11,37.3305893,127.9794617
강원도 원주시 반곡관설동 1822-13,37.333374,127.9782104
강원도 원주시 반곡관설동 1816-2,37.3355064,127.9761963
강원도 원주시 반곡관설동 1818-10,37.3350258,127.9827728
강원도 원주시 반곡관설동 1963-8,37.3314362,127.9861374
강원도 원주시 반곡관설동 1900-1,37.3263359,127.9865494
강원도 원주시 반곡관설동 1984-6,37.3240509,127.9872055
강원도 원주시 반곡관설동 1916-1,37.3220253,127.9872208
강원도 원주시 반곡관설동 1914-8,37.3262901,127.9933548
강원도 원주시 반곡관설동 1993-3,37.328537,127.9932022
강원도 원주시 문막읍 동화리 516-3,37.3254089,127.8447266
강원도 원주시 문막읍 동화리 1530-3,37.328228,127.8284607
강원도 원주시 문막읍 동화리 670-8,37.3206139,127.8378372
강원도 원주시 소초면 평장리 751-4,37.4177361,128.0017548
강원도 원주시 소초면 학곡리 574-1,37.4378128,128.0567932
강원도 원주시 소초면 흥양리 1742,37.3816452,127.9738388
강원도 원주시 소초면 학곡리 181-5,37.429512,128.05896
강원도 원주시 소초면 장양리 62-72,37.3791885,127.9800186
강원도 원주시 소초면 교항1리 980-6,37.4322777,128.0099182
강원도 원주시 호저면 주산리 188-3,37.4027977,127.9317627
강원도 원주시 호저면 무장리 793-5,37.3995819,127.8918915
강원도 원주시 지정면 간현리 1050,37.3649101,127.8358917
강원도 원주시 지정면 간현리 879-4,37.3636284,127.837265
강원도 원주시 지정면 간현리 1031,37.3634682,127.8346176
